SNo,ObservationDate,Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
40802,2020-06-12 00:00:00,Chhattisgarh,India,2021-04-02 15:13:53,1398.0,6.0,447.0
40821,2020-06-12 00:00:00,Dadra and Nagar Haveli and Daman and Diu,India,2021-04-02 15:13:53,30.0,0.0,2.0
40825,2020-06-12 00:00:00,Delhi,India,2021-04-02 15:13:53,34687.0,1085.0,12731.0
40855,2020-06-12 00:00:00,Goa,India,2021-04-02 15:13:53,417.0,0.0,67.0
40870,2020-06-12 00:00:00,Gujarat,India,2021-04-02 15:13:53,22032.0,1385.0,15101.0
40875,2020-06-12 00:00:00,Haryana,India,2021-04-02 15:13:53,5968.0,64.0,2260.0
40882,2020-06-12 00:00:00,Himachal Pradesh,India,2021-04-02 15:13:53,470.0,6.0,280.0
40907,2020-06-12 00:00:00,Jammu and Kashmir,India,2021-04-02 15:13:53,4574.0,52.0,1820.0
40910,2020-06-12 00:00:00,Jharkhand,India,2021-04-02 15:13:53,1599.0,8.0,630.0
40928,2020-06-12 00:00:00,Karnataka,India,2021-04-02 15:13:53,6245.0,72.0,2977.0
40931,2020-06-12 00:00:00,Kerala,India,2021-04-02 15:13:53,2244.0,18.0,968.0
40956,2020-06-12 00:00:00,Ladakh,India,2021-04-02 15:13:53,135.0,1.0,54.0
40972,2020-06-12 00:00:00,Madhya Pradesh,India,2021-04-02 15:13:53,10241.0,431.0,7042.0
40978,2020-06-12 00:00:00,Maharashtra,India,2021-04-02 15:13:53,97648.0,3590.0,46078.0
40980,2020-06-12 00:00:00,Manipur,India,2021-04-02 15:13:53,366.0,0.0,73.0
40993,2020-06-12 00:00:00,Meghalaya,India,2021-04-02 15:13:53,44.0,1.0,18.0
41007,2020-06-12 00:00:00,Mizoram,India,2021-04-02 15:13:53,102.0,0.0,1.0
41019,2020-06-12 00:00:00,Nagaland,India,2021-04-02 15:13:53,128.0,0.0,22.0
41060,2020-06-12 00:00:00,Odisha,India,2021-04-02 15:13:53,3386.0,9.0,2354.0
41093,2020-06-12 00:00:00,Puducherry,India,2021-04-02 15:13:53,157.0,2.0,67.0
41097,2020-06-12 00:00:00,Punjab,India,2021-04-02 15:13:53,2887.0,59.0,2259.0
41107,2020-06-12 00:00:00,Rajasthan,India,2021-04-02 15:13:53,11838.0,265.0,8775.0
41155,2020-06-12 00:00:00,Sikkim,India,2021-04-02 15:13:53,14.0,0.0,2.0
41176,2020-06-12 00:00:00,Tamil Nadu,India,2021-04-02 15:13:53,38716.0,349.0,20705.0
41180,2020-06-12 00:00:00,Telangana,India,2021-04-02 15:13:53,4320.0,165.0,1993.0
41197,2020-06-12 00:00:00,Tripura,India,2021-04-02 15:13:53,913.0,1.0,278.0
41211,2020-06-12 00:00:00,Unknown,India,2021-04-02 15:13:53,8315.0,0.0,0.0
41219,2020-06-12 00:00:00,Uttar Pradesh,India,2021-04-02 15:13:53,12088.0,345.0,7292.0
41220,2020-06-12 00:00:00,Uttarakhand,India,2021-04-02 15:13:53,1643.0,15.0,842.0
41246,2020-06-12 00:00:00,West Bengal,India,2021-04-02 15:13:53,9768.0,442.0,3988.0
41455,2020-06-13 00:00:00,Andaman and Nicobar Islands,India,2021-04-02 15:13:53,38.0,0.0,33.0
41456,2020-06-13 00:00:00,Andhra Pradesh,India,2021-04-02 15:13:53,5680.0,80.0,3105.0
41472,2020-06-13 00:00:00,Arunachal Pradesh,India,2021-04-02 15:13:53,67.0,0.0,4.0
41473,2020-06-13 00:00:00,Assam,India,2021-04-02 15:13:53,3498.0,8.0,1537.0
41495,2020-06-13 00:00:00,Bihar,India,2021-04-02 15:13:53,6103.0,36.0,3587.0
41528,2020-06-13 00:00:00,Chandigarh,India,2021-04-02 15:13:53,334.0,5.0,286.0
41535,2020-06-13 00:00:00,Chhattisgarh,India,2021-04-02 15:13:53,1429.0,6.0,550.0
41554,2020-06-13 00:00:00,Dadra and Nagar Haveli and Daman and Diu,India,2021-04-02 15:13:53,30.0,0.0,2.0
41558,2020-06-13 00:00:00,Delhi,India,2021-04-02 15:13:53,36824.0,1214.0,13398.0
41588,2020-06-13 00:00:00,Goa,India,2021-04-02 15:13:53,463.0,0.0,69.0
41603,2020-06-13 00:00:00,Gujarat,India,2021-04-02 15:13:53,22527.0,1415.0,15493.0
41608,2020-06-13 00:00:00,Haryana,India,2021-04-02 15:13:53,6334.0,70.0,2475.0
41615,2020-06-13 00:00:00,Himachal Pradesh,India,2021-04-02 15:13:53,486.0,6.0,297.0
41640,2020-06-13 00:00:00,Jammu and Kashmir,India,2021-04-02 15:13:53,4730.0,53.0,2086.0
41643,2020-06-13 00:00:00,Jharkhand,India,2021-04-02 15:13:53,1617.0,8.0,672.0
41661,2020-06-13 00:00:00,Karnataka,India,2021-04-02 15:13:53,6516.0,79.0,3440.0
41664,2020-06-13 00:00:00,Kerala,India,2021-04-02 15:13:53,2322.0,19.0,1000.0
41689,2020-06-13 00:00:00,Ladakh,India,2021-04-02 15:13:53,239.0,1.0,62.0
41705,2020-06-13 00:00:00,Madhya Pradesh,India,2021-04-02 15:13:53,10443.0,440.0,7201.0
41711,2020-06-13 00:00:00,Maharashtra,India,2021-04-02 15:13:53,101141.0,3717.0,47796.0
41713,2020-06-13 00:00:00,Manipur,India,2021-04-02 15:13:53,385.0,0.0,77.0
41726,2020-06-13 00:00:00,Meghalaya,India,2021-04-02 15:13:53,44.0,1.0,22.0
41740,2020-06-13 00:00:00,Mizoram,India,2021-04-02 15:13:53,104.0,0.0,1.0
41752,2020-06-13 00:00:00,Nagaland,India,2021-04-02 15:13:53,156.0,0.0,49.0
41793,2020-06-13 00:00:00,Odisha,India,2021-04-02 15:13:53,3498.0,10.0,2474.0
41826,2020-06-13 00:00:00,Puducherry,India,2021-04-02 15:13:53,157.0,2.0,67.0
41830,2020-06-13 00:00:00,Punjab,India,2021-04-02 15:13:53,2986.0,63.0,2282.0
41840,2020-06-13 00:00:00,Rajasthan,India,2021-04-02 15:13:53,12068.0,272.0,8898.0
41888,2020-06-13 00:00:00,Sikkim,India,2021-04-02 15:13:53,63.0,0.0,2.0
41909,2020-06-13 00:00:00,Tamil Nadu,India,2021-04-02 15:13:53,40698.0,367.0,22047.0
41913,2020-06-13 00:00:00,Telangana,India,2021-04-02 15:13:53,4484.0,174.0,2278.0
41930,2020-06-13 00:00:00,Tripura,India,2021-04-02 15:13:53,961.0,1.0,278.0
41944,2020-06-13 00:00:00,Unknown,India,2021-04-02 15:13:53,7984.0,0.0,0.0
41952,2020-06-13 00:00:00,Uttar Pradesh,India,2021-04-02 15:13:53,12616.0,365.0,7609.0
41953,2020-06-13 00:00:00,Uttarakhand,India,2021-04-02 15:13:53,1724.0,21.0,947.0
41979,2020-06-13 00:00:00,West Bengal,India,2021-04-02 15:13:53,10244.0,451.0,4206.0
42188,2020-06-14 00:00:00,Andaman and Nicobar Islands,India,2021-04-02 15:13:53,38.0,0.0,33.0
42189,2020-06-14 00:00:00,Andhra Pradesh,India,2021-04-02 15:13:53,5965.0,82.0,3195.0
42205,2020-06-14 00:00:00,Arunachal Pradesh,India,2021-04-02 15:13:53,87.0,0.0,4.0
42206,2020-06-14 00:00:00,Assam,India,2021-04-02 15:13:53,3718.0,8.0,1584.0
